country,year,category,count
Austria,2014,Asylum/Protection,7175
Austria,2014,Education,6350
Austria,2014,Employment,3442
Austria,2014,Family,13394
Austria,2014,Other,16876
Austria,2015,Asylum/Protection,15045
Austria,2015,Education,7063
Austria,2015,Employment,3598
Austria,2015,Family,15529
Austria,2015,Other,25092
Austria,2016,Asylum/Protection,30370
Austria,2016,Education,5770
Austria,2016,Employment,3337
Austria,2016,Family,15635
Austria,2016,Other,25324
Austria,2017,Asylum/Protection,25200
Austria,2017,Education,4591
Austria,2017,Employment,2938
Austria,2017,Family,13857
Austria,2017,Other,34582
Austria,2018,Asylum/Protection,15020
Austria,2018,Education,4422
Austria,2018,Employment,3737
Austria,2018,Family,13064
Austria,2018,Other,25298
Austria,2019,Asylum/Protection,7425
Austria,2019,Education,4078
Austria,2019,Employment,4077
Austria,2019,Family,13481
Austria,2019,Other,18229
Austria,2020,Asylum/Protection,6835
Austria,2020,Education,2718
Austria,2020,Employment,2739
Austria,2020,Family,11634
Austria,2020,Other,17668
Austria,2021,Asylum/Protection,12105
Austria,2021,Education,4703
Austria,2021,Employment,3935
Austria,2021,Family,14457
Austria,2021,Other,24797
Austria,2022,Asylum/Protection,16560
Austria,2022,Education,4743
Austria,2022,Employment,5437
Austria,2022,Family,17369
Austria,2022,Other,27709
Austria,2023,Asylum/Protection,23195
Austria,2023,Education,6275
Austria,2023,Employment,7166
Austria,2023,Family,18156
Austria,2023,Other,31293
Austria,2024,Asylum/Protection,22555
Austria,2024,Education,6817
Austria,2024,Employment,8318
Austria,2024,Family,18710
Austria,2024,Other,31823
Belgium,2014,Asylum/Protection,8045
Belgium,2014,Education,6286
Belgium,2014,Employment,4768
Belgium,2014,Family,23114
Belgium,2014,Other,11345
Belgium,2015,Asylum/Protection,10475
Belgium,2015,Education,6345
Belgium,2015,Employment,4948
Belgium,2015,Family,26206
Belgium,2015,Other,15066
Belgium,2016,Asylum/Protection,15045
Belgium,2016,Education,6303
Belgium,2016,Employment,5179
Belgium,2016,Family,26325
Belgium,2016,Other,20409
Belgium,2017,Asylum/Protection,12585
Belgium,2017,Education,6896
Belgium,2017,Employment,5947
Belgium,2017,Family,28654
Belgium,2017,Other,18330
Belgium,2018,Asylum/Protection,9675
Belgium,2018,Education,6908
Belgium,2018,Employment,6073
Belgium,2018,Family,29551
Belgium,2018,Other,17092
Belgium,2019,Asylum/Protection,6530
Belgium,2019,Education,8661
Belgium,2019,Employment,6114
Belgium,2019,Family,32261
Belgium,2019,Other,13276
Belgium,2020,Asylum/Protection,5710
Belgium,2020,Education,5675
Belgium,2020,Employment,4110
Belgium,2020,Family,25712
Belgium,2020,Other,12143
Belgium,2021,Asylum/Protection,9165
Belgium,2021,Education,9200
Belgium,2021,Employment,6247
Belgium,2021,Family,32710
Belgium,2021,Other,15347
Belgium,2022,Asylum/Protection,10920
Belgium,2022,Education,9297
Belgium,2022,Employment,8144
Belgium,2022,Family,33313
Belgium,2022,Other,17768
Belgium,2023,Asylum/Protection,12455
Belgium,2023,Education,9523
Belgium,2023,Employment,8631
Belgium,2023,Family,33774
Belgium,2023,Other,22438
Belgium,2024,Asylum/Protection,15620
Belgium,2024,Education,10465
Belgium,2024,Employment,8290
Belgium,2024,Family,36019
Belgium,2024,Other,24054
Bulgaria,2014,Asylum/Protection,7000
