country,year,Asylum/Protection,Education,Employment,Family,Other,Total,asylum_applications_first_time
Austria,2014,7175.0,6350.0,3442.0,13394.0,16876.0,47237.0,25675.0
Austria,2015,15045.0,7063.0,3598.0,15529.0,25092.0,66327.0,85505.0
Austria,2016,30370.0,5770.0,3337.0,15635.0,25324.0,80436.0,39875.0
Austria,2017,25200.0,4591.0,2938.0,13857.0,34582.0,81168.0,22455.0
Austria,2018,15020.0,4422.0,3737.0,13064.0,25298.0,61541.0,11580.0
Austria,2019,7425.0,4078.0,4077.0,13481.0,18229.0,47290.0,10985.0
Austria,2020,6835.0,2718.0,2739.0,11634.0,17668.0,41594.0,13400.0
Austria,2021,12105.0,4703.0,3935.0,14457.0,24797.0,59997.0,37800.0
Austria,2022,16560.0,4743.0,5437.0,17369.0,27709.0,71818.0,109775.0
Austria,2023,23195.0,6275.0,7166.0,18156.0,31293.0,86085.0,56135.0
Austria,2024,22555.0,6817.0,8318.0,18710.0,31823.0,88223.0,22220.0
Belgium,2014,8045.0,6286.0,4768.0,23114.0,11345.0,53558.0,14045.0
Belgium,2015,10475.0,6345.0,4948.0,26206.0,15066.0,63040.0,38990.0
Belgium,2016,15045.0,6303.0,5179.0,26325.0,20409.0,73261.0,14250.0
Belgium,2017,12585.0,6896.0,5947.0,28654.0,18330.0,72412.0,14035.0
Belgium,2018,9675.0,6908.0,6073.0,29551.0,17092.0,69299.0,18130.0
Belgium,2019,6530.0,8661.0,6114.0,32261.0,13276.0,66842.0,23105.0
Belgium,2020,5710.0,5675.0,4110.0,25712.0,12143.0,53350.0,12905.0
Belgium,2021,9165.0,9200.0,6247.0,32710.0,15347.0,72669.0,19545.0
Belgium,2022,10920.0,9297.0,8144.0,33313.0,17768.0,79442.0,32100.0
Belgium,2023,12455.0,9523.0,8631.0,33774.0,22438.0,86821.0,29260.0
Belgium,2024,15620.0,10465.0,8290.0,36019.0,24054.0,94448.0,32670.0
Bulgaria,2014,7000.0,911.0,304.0,2591.0,4989.0,15795.0,10805.0
Bulgaria,2015,5595.0,874.0,2261.0,2906.0,3554.0,15190.0,20160.0
Bulgaria,2016,1350.0,1067.0,276.0,3240.0,3359.0,9292.0,18990.0
Bulgaria,2017,1695.0,1267.0,1822.0,3615.0,4254.0,12653.0,3470.0
Bulgaria,2018,740.0,1267.0,1621.0,3792.0,5184.0,12604.0,2465.0
Bulgaria,2019,400.0,1642.0,2414.0,4097.0,5347.0,13900.0,2075.0
Bulgaria,2020,820.0,1154.0,2388.0,2902.0,3823.0,11087.0,3460.0
Bulgaria,2021,2015.0,1326.0,2515.0,4174.0,3769.0,13799.0,10890.0
Bulgaria,2022,4370.0,1923.0,4621.0,5345.0,3950.0,20209.0,20260.0
Bulgaria,2023,5790.0,2306.0,6466.0,6160.0,4443.0,25165.0,22390.0
Bulgaria,2024,5085.0,2379.0,8653.0,5356.0,3274.0,24747.0,12130.0
Croatia,2014,25.0,418.0,609.0,1928.0,379.0,3359.0,380.0
Croatia,2015,40.0,387.0,790.0,1852.0,404.0,3473.0,140.0
Croatia,2016,100.0,526.0,2634.0,1673.0,482.0,5415.0,2150.0
